14336,kd9vgv,1o,wi,1904,PH,27
14297,k6pw,6o,sf,1919,PH,27
14243,n7lrg,1h,wwa,1942,PH,27
14238,k7cch,3o,or,1946,PH,27
14236,w6mac,3o,sv,1948,PH,27
144,k7swi,4o,id,2004,PH,27
443,ki7pwr,1m,id,2007,PH,27
144,ac7gl,1h,id,2120,PH,27
144,kj7bjs,1o,id,2121,PH,27
443,kj7bjs,1o,id,2137,PH,27
14059,wt7tt,1i,co,2233,CW,27
14047,wa6ara,1i,sjv,2247,CW,27
14078,n6sbc,4o,sc,2312,DG,27
14078,kj7svm,1h,wwa,2333,DG,27
21263,kc9rf,1o,stx,2,PH,28
7208,k7uva,3m,ut,136,PH,28
7197,we4dx,3i,or,138,PH,28
7182,w6ze,5o,org,144,PH,28
7043,ku9r,2o,in,157,CW,28
7093,kf0are,1h,mn,200,CW,28
7078,n8aco,1i,mi,210,DG,28
7078,kl7r,1m,az,215,DG,28
7078,kc3qlx,1o,epa,220,DG,28
3940,k7bsv,1h,id,343,PH,28
3900,kf7dvn,1m,or,346,PH,28
3875,wz8t,1h,wwa,349,PH,28
3553,w0gs,3i,mo,430,DG,28
3553,ad8q,1h,id,432,DG,28
3553,va7uy,1h,bc,445,DG,28
21290,kt4q,2m,ga,1617,PH,28
21294,k4ii,1i,sc,1618,PH,28
21330,aq4trs,1h,nc,1623,PH,28
21408,w0zwy,3o,sd,1626,PH,28
14192,kt4q,2m,ga,1642,PH,28
14214,w0ned,2h,co,1643,PH,28
14218,w5str,4i,ar,1645,PH,28
14235,ag6au,2o,sv,1648,PH,28
14049,w5awl,6i,ntx,1718,CW,28
14048,w0nt,3i,co,1723,CW,28
28420,GOOD,1h,nli,1821,PH,28
